Time ,Open,High,Low,Close,Volume 
2021.03.12 07:00:00,1.19492,1.19511,1.19377,1.19453,8440.92
2021.03.12 08:00:00,1.19455,1.1948,1.19284,1.19332,11471.56
2021.03.12 09:00:00,1.19329,1.1937,1.19112,1.1918,8288.45
2021.03.12 10:00:00,1.19181,1.1923,1.19102,1.19208,6745.97
2021.03.12 11:00:00,1.19211,1.19233,1.19138,1.19171,7580.63
2021.03.12 12:00:00,1.19171,1.19361,1.19161,1.19349,7490.21
2021.03.12 13:00:00,1.19347,1.19404,1.19217,1.19265,11834.79
2021.03.12 14:00:00,1.19267,1.19352,1.19204,1.19317,16872.64
2021.03.12 15:00:00,1.19317,1.19393,1.19117,1.19369,14388.75
2021.03.12 16:00:00,1.19371,1.19554,1.19334,1.19523,10701.32
2021.03.12 17:00:00,1.19524,1.19569,1.1948,1.1948,6890.61
2021.03.12 18:00:00,1.19479,1.19556,1.19447,1.19525,4518.94
2021.03.12 19:00:00,1.19526,1.19546,1.19489,1.1949,3255.46
2021.03.12 20:00:00,1.19489,1.19616,1.19477,1.19607,2886
2021.03.12 21:00:00,1.19606,1.19614,1.19512,1.19562,3268.145
2021.03.14 21:00:00,1.1948,1.19528,1.19461,1.19513,2032.63
2021.03.14 22:00:00,1.19513,1.19548,1.1944,1.19487,1884.62
2021.03.14 23:00:00,1.19485,1.19533,1.1945,1.19504,1891.93
2021.03.15 00:00:00,1.19504,1.19564,1.19501,1.19515,3484.44
2021.03.15 01:00:00,1.19513,1.19677,1.19506,1.1958,5485.86
2021.03.15 02:00:00,1.19579,1.19618,1.19432,1.1948,4377.25
2021.03.15 03:00:00,1.19478,1.19545,1.19475,1.19542,3387.13
2021.03.15 04:00:00,1.19544,1.19546,1.19427,1.19435,2306.39
2021.03.15 05:00:00,1.19433,1.19438,1.19303,1.1933,4825.75
2021.03.15 06:00:00,1.19331,1.19358,1.19258,1.19352,4279.26
2021.03.15 07:00:00,1.19352,1.19378,1.19181,1.19201,7013.26
2021.03.15 08:00:00,1.19203,1.19401,1.19197,1.1937,9113.25
2021.03.15 09:00:00,1.19369,1.19402,1.19225,1.1926,7359.21
2021.03.15 10:00:00,1.1926,1.19306,1.19194,1.19306,5084.23
2021.03.15 11:00:00,1.19306,1.19343,1.19213,1.19229,5859.56
2021.03.15 12:00:00,1.19228,1.19339,1.19211,1.1925,7798.75
2021.03.15 13:00:00,1.19251,1.1931,1.19162,1.19206,9635.33
2021.03.15 14:00:00,1.19207,1.19305,1.19154,1.1928,7801.25
2021.03.15 15:00:00,1.19278,1.19341,1.19112,1.19156,9959.59
2021.03.15 16:00:00,1.19154,1.19374,1.19153,1.19231,7467.49
2021.03.15 17:00:00,1.19231,1.19316,1.19195,1.19281,4465.65
2021.03.15 18:00:00,1.19281,1.19325,1.19252,1.19258,3075.68
2021.03.15 19:00:00,1.19259,1.19302,1.19214,1.19298,3006.29
2021.03.15 20:00:00,1.19297,1.19338,1.19291,1.19308,2299.48
2021.03.15 21:00:00,1.19308,1.19356,1.19244,1.1928,1569.8717
2021.03.15 22:00:00,1.1928,1.19302,1.19247,1.19251,916.075
2021.03.15 23:00:00,1.1925,1.19272,1.19246,1.19265,965.18
2021.03.16 00:00:00,1.19266,1.19319,1.19224,1.19229,2063.95
2021.03.16 01:00:00,1.19229,1.19323,1.19225,1.1928,2828.97
2021.03.16 02:00:00,1.19281,1.19286,1.19224,1.19265,2458.39
2021.03.16 03:00:00,1.19264,1.19374,1.19253,1.19339,3024.96
2021.03.16 04:00:00,1.19338,1.19389,1.19331,1.1938,1737.19
2021.03.16 05:00:00,1.19379,1.19389,1.19347,1.19352,2009.52
2021.03.16 06:00:00,1.19353,1.19354,1.19276,1.19299,3218.32
2021.03.16 07:00:00,1.19299,1.193,1.19156,1.19165,6266.04
2021.03.16 08:00:00,1.19166,1.1929,1.19139,1.19269,5796.83
2021.03.16 09:00:00,1.19268,1.19356,1.19226,1.19294,6608.85
2021.03.16 10:00:00,1.19294,1.19458,1.19274,1.19443,6442.66
2021.03.16 11:00:00,1.19441,1.1952,1.19432,1.19473,5687.62
2021.03.16 12:00:00,1.19473,1.195,1.19206,1.19231,11184.28
2021.03.16 13:00:00,1.1923,1.19275,1.18973,1.19028,16375.63
2021.03.16 14:00:00,1.19027,1.1914,1.18999,1.19094,11578.85
2021.03.16 15:00:00,1.19096,1.19101,1.18821,1.18945,10297.28
2021.03.16 16:00:00,1.18943,1.18989,1.18902,1.18933,6931.75
2021.03.16 17:00:00,1.18933,1.19097,1.18928,1.19029,8581.74
2021.03.16 18:00:00,1.19028,1.1909,1.1902,1.19039,4160.75
2021.03.16 19:00:00,1.19038,1.19103,1.19029,1.19054,3468.79
2021.03.16 20:00:00,1.19053,1.19071,1.19011,1.19029,1415.37
