Time (EET),Open,High,Low,Close,Volume 
2010.07.13 21:00:00,1.27059,1.2712,1.27033,1.27118,699.9
2010.07.13 21:15:00,1.27124,1.27129,1.269,1.2693,596.7
2010.07.13 21:30:00,1.2693,1.27053,1.26893,1.27028,655.9
2010.07.13 21:45:00,1.27011,1.27038,1.26948,1.26999,545.4
2010.07.13 22:00:00,1.26983,1.27145,1.26971,1.27125,648.9
2010.07.13 22:15:00,1.27116,1.27178,1.27096,1.27175,664.9
2010.07.13 22:30:00,1.27151,1.2723,1.27115,1.27169,661.4
2010.07.13 22:45:00,1.27152,1.27185,1.27063,1.27147,799.4
2010.07.13 23:00:00,1.27155,1.27186,1.27101,1.27165,665.7
2010.07.13 23:15:00,1.27163,1.27236,1.2713,1.27226,947.6
2010.07.13 23:30:00,1.27218,1.2738,1.27197,1.27334,782.1
2010.07.13 23:45:00,1.27349,1.27367,1.27183,1.27243,965.8
2010.07.14 00:00:00,1.27241,1.27296,1.27188,1.27273,896.9
2010.07.14 00:15:00,1.2728,1.27331,1.27234,1.27252,490.1
2010.07.14 00:30:00,1.27238,1.27287,1.27226,1.27245,482.4
2010.07.14 00:45:00,1.27252,1.27289,1.2721,1.27269,735.1
2010.07.14 01:00:00,1.27272,1.27293,1.27212,1.27236,508.5
2010.07.14 01:15:00,1.27244,1.27254,1.27189,1.27214,445
2010.07.14 01:30:00,1.27199,1.27241,1.27174,1.27204,483
2010.07.14 01:45:00,1.27205,1.27213,1.27166,1.27195,536.5
2010.07.14 02:00:00,1.27182,1.2721,1.27075,1.27123,614.1
2010.07.14 02:15:00,1.27138,1.27197,1.27116,1.27177,466.2
2010.07.14 02:30:00,1.27184,1.27259,1.27149,1.27227,540
2010.07.14 02:45:00,1.27216,1.27232,1.27162,1.27189,504.8
2010.07.14 03:00:00,1.27182,1.27205,1.2706,1.27126,361.9
2010.07.14 03:15:00,1.27136,1.27159,1.27087,1.27123,340.9
2010.07.14 03:30:00,1.27146,1.2715,1.27022,1.2706,377.1
2010.07.14 03:45:00,1.2705,1.271,1.26979,1.27074,424.3
2010.07.14 04:00:00,1.271,1.27166,1.27073,1.27113,458.8
2010.07.14 04:15:00,1.27099,1.27161,1.27072,1.27115,347.3
2010.07.14 04:30:00,1.2714,1.27204,1.27101,1.27179,397.9
2010.07.14 04:45:00,1.27188,1.27195,1.2707,1.271,362.7
2010.07.14 05:00:00,1.27095,1.27133,1.27064,1.27127,1024.1
2010.07.14 05:15:00,1.27112,1.27169,1.27067,1.27133,919.7
2010.07.14 05:30:00,1.27144,1.2718,1.27104,1.2718,696.5
2010.07.14 05:45:00,1.27179,1.2726,1.27133,1.27251,911.7
2010.07.14 06:00:00,1.27229,1.27343,1.27169,1.27187,918
2010.07.14 06:15:00,1.27187,1.2722,1.27133,1.27182,630.2
2010.07.14 06:30:00,1.2717,1.27184,1.27092,1.27145,1201.2
2010.07.14 06:45:00,1.27146,1.27209,1.27121,1.27161,1028.6
2010.07.14 07:00:00,1.27176,1.27207,1.27112,1.27184,906.8
2010.07.14 07:15:00,1.27181,1.27226,1.27145,1.27174,870.5
2010.07.14 07:30:00,1.27161,1.27237,1.27133,1.27163,737.9
2010.07.14 07:45:00,1.27163,1.27191,1.27048,1.27108,639.9
2010.07.14 08:00:00,1.27102,1.27117,1.27015,1.2706,815.8
2010.07.14 08:15:00,1.27035,1.2713,1.27028,1.27094,643.1
2010.07.14 08:30:00,1.27091,1.27165,1.27062,1.27118,747.8
2010.07.14 08:45:00,1.27135,1.27164,1.27024,1.27047,800.4
2010.07.14 09:00:00,1.27054,1.27163,1.26995,1.27145,873.3
